Tiempo: 15.9961s, Fecha: 2017-06-28 12:40:28, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 16726485php, L: 151Tiempo: 15.1341s, Fecha: 2017-06-28 12:41:32, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 167Tiempo: 18.2613s, Fecha: 2017-06-28 12:43:06, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 167
Tiempo: 2.9124s, Fecha: 2017-06-28 17:47:53, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 167
Tiempo: 0.5828s, Fecha: 2017-06-28 17:52:25, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 167
Tiempo: 0.6031s, Fecha: 2017-06-28 17:56:02, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 167
Tiempo: 0.5340s, Fecha: 2017-06-28 18:31:28, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
Tiempo: 0.6968s, Fecha: 2017-06-28 18:33:00, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
Tiempo: 0.5505s, Fecha: 2017-06-28 18:33:08, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
Tiempo: 0.5777s, Fecha: 2017-06-28 18:33:34, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
Tiempo: 0.6390s, Fecha: 2017-06-28 18:33:41, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
Tiempo: 0.5938s, Fecha: 2017-06-28 18:34:21, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
Tiempo: 0.6097s, Fecha: 2017-06-28 18:34:28, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
Tiempo: 0.5305s, Fecha: 2017-06-28 18:34:36, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
Tiempo: 0.6673s, Fecha: 2017-06-28 18:35:25, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
Tiempo: 0.5841s, Fecha: 2017-06-28 18:35:31, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
Tiempo: 0.6182s, Fecha: 2017-06-28 18:35:42, H: localhost, File: /var/www/html/minha/core/async_users.php, L: 169
